ts,asset,items,status,status_time,power_avg,cycle_time,alarm
2021-03-30 10:39:11+00:00,1,0.0,3.0,1.0,0.0,0.0,1
2021-03-30 10:39:12+00:00,1,0.0,3.0,1.0,0.0,0.0,1
2021-03-30 10:39:15+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:18+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:21+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:24+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:27+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:30+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:33+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:36+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:39+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:42+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:45+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:48+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:51+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:54+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:39:57+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:00+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:03+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:06+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:09+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:12+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:15+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:18+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:21+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:24+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:27+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:30+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:33+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:36+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:39+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:42+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:45+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:48+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:51+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:54+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:40:57+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:00+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:03+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:06+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:09+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:12+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:15+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:18+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:21+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:24+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:27+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:30+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:33+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:36+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:39+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:42+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:45+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:48+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:51+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:54+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:41:57+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:00+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:03+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:06+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:09+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:12+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:15+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:18+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:21+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:24+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:27+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:30+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:33+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:36+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:39+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:42+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:45+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:48+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:51+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:54+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:42:57+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:00+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:03+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:06+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:09+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:12+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:15+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:18+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:21+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:24+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:27+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:30+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:33+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:36+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:39+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:42+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:45+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:48+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:51+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:54+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:43:57+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:00+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:03+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:06+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:09+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:12+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:15+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:18+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:21+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:24+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:27+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:30+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:33+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:36+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:39+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:42+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:45+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:48+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:51+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:54+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:44:57+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:00+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:03+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:06+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:09+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:12+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:15+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:18+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:21+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:24+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:27+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:30+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:33+00:00,1,0.0,3.0,3.0,0.0,0.0,1
2021-03-30 10:45:36+00:00,1,0.0,3.0,3.0,0.0,0.0,1
