ts,alarm,is_on,health_smooth,health_band,xgb_pre_alarm_prob,combined_alert,if_raw_score
2021-09-14 01:30:00+00:00,0,1,84.43,healthy,,0,0.09681828643206308
2021-09-14 01:35:00+00:00,0,1,84.47,healthy,,0,0.09941700695495204
2021-09-14 01:40:00+00:00,0,1,84.11,healthy,,0,0.07575536612944023
2021-09-14 01:45:00+00:00,0,1,84.17,healthy,,0,0.0993023976930022
2021-09-14 01:50:00+00:00,0,1,83.8,healthy,,0,0.07436112607452072
2021-09-14 01:55:00+00:00,0,1,83.87,healthy,,0,0.09862769025645335
2021-09-14 02:00:00+00:00,0,1,83.56,healthy,,0,0.07623455329644807
2021-09-14 02:05:00+00:00,0,1,83.26,healthy,,0,0.07644323523270224
2021-09-14 02:10:00+00:00,0,1,83.4,healthy,,0,0.10044451389594317
2021-09-14 02:15:00+00:00,0,1,83.11,healthy,,0,0.07606858936434391
2021-09-14 02:20:00+00:00,0,1,83.25,healthy,,0,0.10015395701172486
2021-09-14 02:25:00+00:00,0,1,82.99,healthy,,0,0.07716943638143747
2021-09-14 02:30:00+00:00,0,1,82.76,healthy,,0,0.07782325320251893
2021-09-14 02:35:00+00:00,0,1,82.94,healthy,,0,0.10116351684536157
2021-09-14 02:40:00+00:00,0,1,82.73,healthy,,0,0.07906243140409702
2021-09-14 02:45:00+00:00,0,1,82.93,healthy,,0,0.10222634030453898
2021-09-14 02:50:00+00:00,0,1,82.72,healthy,,0,0.07903024767694883
2021-09-14 02:55:00+00:00,0,1,82.54,healthy,,0,0.07968135867471376
2021-09-14 03:00:00+00:00,0,1,82.75,healthy,,0,0.10222438297884917
2021-09-14 03:05:00+00:00,0,1,82.97,healthy,,0,0.10323187343127271
2021-09-14 03:10:00+00:00,0,1,83.18,healthy,,0,0.10354773760240776
2021-09-14 03:15:00+00:00,0,1,83.38,healthy,,0,0.10367266182202889
2021-09-14 03:20:00+00:00,0,1,83.56,healthy,,0,0.10361861314025106
2021-09-14 03:25:00+00:00,0,1,83.74,healthy,,0,0.10365951208349311
2021-09-14 03:30:00+00:00,0,1,83.51,healthy,,0,0.08087336128863526
2021-09-14 03:35:00+00:00,0,1,83.7,healthy,,0,0.10436397129707414
2021-09-14 03:40:00+00:00,0,1,83.88,healthy,,0,0.10470557357729093
2021-09-14 03:45:00+00:00,0,1,83.66,healthy,,0,0.0816931465176331
2021-09-14 03:50:00+00:00,0,1,83.83,healthy,,0,0.10417338388256087
2021-09-14 03:55:00+00:00,0,1,84.0,healthy,,0,0.10427480788083665
2021-09-14 04:00:00+00:00,0,1,83.77,healthy,0.3349536657333374,0,0.08177634759694047
2021-09-14 04:05:00+00:00,0,1,83.56,healthy,0.3349536657333374,0,0.08217887285776898
2021-09-14 04:10:00+00:00,0,1,83.74,healthy,0.3349536657333374,0,0.10423580627571927
2021-09-14 04:15:00+00:00,0,1,83.94,healthy,0.3349536657333374,0,0.1054696366298109
2021-09-14 04:20:00+00:00,0,1,84.1,healthy,0.3349536657333374,0,0.10448527161822829
2021-09-14 04:25:00+00:00,0,1,84.26,healthy,0.3349536657333374,0,0.1051833563688967
2021-09-14 04:30:00+00:00,0,1,84.42,healthy,0.3349536657333374,0,0.10510800748397775
2021-09-14 04:35:00+00:00,0,1,84.56,healthy,0.3349536657333374,0,0.10518957575162707
2021-09-14 04:40:00+00:00,0,1,84.69,healthy,0.3349536657333374,0,0.10487826955501045
2021-09-14 04:45:00+00:00,0,1,84.82,healthy,0.3349536657333374,0,0.10531573792669963
2021-09-14 04:50:00+00:00,0,1,84.56,healthy,0.31347188353538513,0,0.08282614776374869
2021-09-14 04:55:00+00:00,0,1,84.69,healthy,0.31347188353538513,0,0.10509369286338388
2021-09-14 05:00:00+00:00,0,1,84.82,healthy,0.31347188353538513,0,0.10533210919078534
2021-09-14 05:05:00+00:00,0,1,84.58,healthy,0.31347188353538513,0,0.08463500576967475
